Rec,Inf,Name,Position,Club,On Loan From,Based,Asking Price,Wage,Expires,Nat,2nd Nat,Home-Grown Status,Height,Weight,Preferred Foot,Age,Personality,Media Handling,Transfer Value,Apps,Mins,Gls,Ast,Clean sheets,xG - Goals,npxG,npxG - npG,npxG per 90,npxG per Shot (min. 10 shots),Offsides per npxG (min. 1 npxG),Assist per Key Pass (min. 5 KP),Net Fouls,Yellow Cards per Tackle,Tackles Won per 90,Defensive Actions per 90,Apps,Starts,Mins,Mins/Gm,Av Rat,Gls,Gls/90,Shots,ShT,Shot %,Shot/90,ShT/90,Pens,Pens S,Pen/R,Off,xG,CCC,Ch C/90,Ast,Asts/90,K Pas,K Ps/90,Pas A,Ps A/90,Ps C,Ps C/90,Pas %,Cr A,Cr C,Cr C/A,Drb,Drb/90,FA,Distance,Hdrs A,Aer A/90,Hdrs,Hdrs W/90,Hdr %,K Tck,Tck W,Tck,Tck R,Fls,Yel,Red,Itc,Int/90,Clear,Conc,Con/90,Clean sheets,xSv %,Svh,Svt,Svp,Sv %,Pens Faced,Pens Saved,Pens Saved Ratio,PoM,Substitute Appearances,Minutes per Game,Tackles Attempted,Distance per 90
- - A+ -,Set,Bruno Fernandes,M/AM (C),Man UFC,,England (Premier Division),-,"£180,000 p/w",30/6/2025,POR,,Trained in nation (15-21),"5'10""",69 kg,Right,29,Perfectionist,Scouting Required,£110M - £137M,10,800,1,0,-,0.52,1.52,0.52,0.171,0.117,1.32,0,8,0.063,1.222,4.63,10,10,800,168.89,7.06,1,0.11,13,6,46%,1.46,0.67,0,0,-,2,1.52,3,1.25,0,-,14,1.57,701,78.86,624,70.2,89%,15,4,26%,10,1.12,9,112.5km,31,3.49,14,1.57,45%,0,11,1.24,69%,17,1,1,14,1.57,5,-,-,-,-,-,-,-,-,16,0,-,0,,80,16,12.656
- - A+ -,Ask,Harry Kane,"AM (LC), ST (C)",Tottenham,,England (Premier Division),-,"£200,000 p/w",30/6/2026,ENG,IRL,-,"6'2""",84 kg,Either,30,Model Professional,Unflappable,Not for Sale,10 (1),854,6,3,-,-3.95,0.53,-3.47,0.056,0.025,,0.176,-18,0,0.9,5.38,10 (1),10,854,87.2,7.44,6,0.63,21,13,62%,2.21,1.37,2,2,100%,5,2.05,4,0.42,3,0.32,17,1.79,416,43.84,374,39.41,90%,9,0,0%,9,0.95,28,114.3km,126,13.28,40,4.22,32%,0,9,0.95,82%,10,0,0,3,0.32,7,-,-,-,-,-,-,-,-,11,2,82%,2,1,77.64,11,12.046
- - A+ -,,Raheem Sterling,M/AM (RL),Man City,,England (Premier Division),-,"£300,000 p/w",30/6/2026,ENG,JAM,-,"5'7""",69 kg,Right,28,Ambitious,Media-friendly,£112M - £131M,9 (1),774,2,2,-,-1.14,0.86,-1.14,0.1,0.072,,0.1,-1,0,2.111,10.21,9 (1),9,774,155.52,7.49,2,0.23,12,6,50%,1.4,0.7,0,0,-,2,0.86,7,2.03,2,0.23,20,2.33,366,42.56,307,35.7,84%,52,20,38%,17,1.98,8,124.7km,59,6.86,41,4.77,69%,0,19,2.21,86%,7,0,0,17,1.98,19,-,-,-,-,-,-,-,-,22,0,-,1,1,77.4,22,14.5
- - A+ -,,Gianluigi Donnarumma,GK,Paris SG,,France (Ligue 1 Uber Eats),-,"£250,000 p/w",30/6/2027,ITA,,Trained at club (15-21),"6'5""",90 kg,Right Only,24,Ambitious,Scouting Required,Not for Sale,14,"1,178",0,0,8,,,,,,,,-6,0,0.076,,14,14,"1,178",172.55,7.47,0,-,0,-,-,-,-,0,0,-,0,0,0,-,0,-,2,0.15,581,44.39,366,27.96,63%,-,-,-,0,-,6,73.0km,-,-,-,-,-,0,1,0.08,50%,0,0,0,0,-,-,8,0.61,8,-1590%,10,4,27,-4%,2,0,-,3,,84.14,2,5.577
- - A+ -,,Noni Madueke,"M (RL), AM (RLC)",West Ham,,England (Premier Division),-,"£135,000 p/w",30/6/2027,ENG,NGA,-,"5'9""",74 kg,Left,21,Fairly Determined,Level-headed,£99M,15,"1,092",5,5,-,-1.46,3.54,-1.46,0.292,0.126,0.56,0.238,-22,0.045,1.401,7.02,15,15,"1,092",209.03,7.23,5,0.41,28,10,36%,2.31,0.82,0,0,-,2,3.54,7,1.43,5,0.41,21,1.73,576,47.47,508,41.87,88%,31,12,38%,21,1.73,29,153.7km,77,6.35,49,4.04,64%,0,17,1.4,77%,7,1,0,13,1.07,16,-,-,-,-,-,-,-,-,22,0,-,2,,72.8,22,12.668
- - A -,Wnt,Rodri,"DM, M (C)",Man City,,England (Premier Division),£70M,"£185,000 p/w",30/6/2026,ESP,,-,"6'3""",75 kg,Right,27,Professional,Evasive,£70M,2 (4),225,1,0,-,-0.87,0.13,-0.87,0.043,,,,6,0,1.333,6.48,2 (4),2,225,138.17,6.88,1,0.4,2,1,50%,0.8,0.4,0,0,-,0,0.13,0,-,0,-,2,0.8,201,80.4,180,72,90%,2,1,50%,1,0.4,0,32.0km,13,5.2,9,3.6,69%,0,4,1.6,100%,6,0,0,1,0.4,4,-,-,-,-,-,-,-,-,4,0,-,0,4,37.5,4,12.8
- - A -,Wnt,Richarlison,"AM (RL), ST (C)",Everton,,England (Premier Division),£55M,"£110,000 p/w",30/6/2026,BRA,ENG,-,"5'11""",71 kg,Right,26,Balanced,Scouting Required,£55M,13,"1,137",4,1,-,-0.14,3.86,-0.14,0.306,0.125,2.33,0.059,-5,0,1.187,8.72,13,13,"1,137",169,7.22,4,0.32,31,12,39%,2.45,0.95,0,0,-,9,3.86,3,0.58,1,0.08,17,1.35,539,42.66,452,35.78,84%,37,9,24%,29,2.3,26,168.7km,118,9.34,79,6.25,67%,0,15,1.19,65%,21,0,0,18,1.42,14,-,-,-,-,-,-,-,-,23,0,-,0,,87.46,23,13.354
- - A -,Wnt,Merih Demiral,D (C),Man City,,England (Premier Division),-,"£94,000 p/w",30/6/2026,TUR,,-,"6'4""",84 kg,Right Only,25,Driven,Scouting Required,£55M - £66M,2,180,0,0,-,0.13,0.13,0.13,0.065,,,,-1,0,1,25.9,2,2,180,90,7.45,0,-,1,0,0%,0.5,0,0,0,-,0,0.13,0,-,0,-,1,0.5,144,72,135,67.5,94%,0,0,0%,0,-,1,17.6km,24,12,21,10.5,88%,1,2,1,100%,0,0,0,10,5,14,-,-,-,-,-,-,-,-,2,0,-,0,,90,2,8.8
- - A -,Set,Antonio Rüdiger,D (RC),Chelsea,,England (Premier Division),-,"£170,000 p/w",30/6/2025,GER,SLE,-,"6'3""",85 kg,Right,30,Ambitious,Scouting Required,£109M - £178M,13,"1,154",0,0,-,0.91,0.91,0.91,0.071,,,,6,0.174,1.17,22.06,13,13,"1,154",267.71,7.07,0,-,9,3,33%,0.7,0.23,0,0,-,2,0.91,1,0.2,0,-,1,0.08,"1,035",80.72,"1,005",78.38,97%,2,1,50%,4,0.31,5,132.1km,157,12.24,136,10.61,87%,2,15,1.17,65%,11,4,0,36,2.81,105,-,-,-,-,-,-,-,-,23,0,-,0,,88.77,23,10.302
- - A -,,Franck Kessié,"DM, M (C)",Tottenham,,England (Premier Division),-,"£105,000 p/w",30/6/2027,CIV,,Trained in nation (15-21),"6'0""",89 kg,Right,26,Fairly Determined,Scouting Required,£56M - £83M,10,880,1,0,-,-0.4,0.6,-0.4,0.061,0.06,,0,1,0.036,2.3,8.86,10,10,880,88,7.02,1,0.1,10,4,40%,1.02,0.41,0,0,-,0,0.6,2,0.2,0,-,10,1.02,769,78.65,670,68.52,87%,9,0,0%,3,0.31,14,124.0km,52,5.32,42,4.3,81%,0,23,2.35,82%,15,1,0,13,1.33,17,-,-,-,-,-,-,-,-,28,0,-,0,,88,28,12.682
